iter	RMSE
0	1756864.464
1	1672835.159
2	1599624.328
3	1532726.507
4	1474817.317
5	1423786.017
6	1379151.563
7	1340143.263
8	1304258.982
9	1274021.759
10	1246715.623
11	1222510.427
12	1202117.887
13	1182447.87
14	1165911.742
15	1150740.507
16	1136481.417
17	1124014.657
18	1113941.03
19	1104375.273
20	1096067.3
21	1088264.882
22	1081557.028
23	1075680.947
24	1069229.598
25	1063984.092
26	1059709.097
27	1055932.782
28	1050789.434
29	1047743.042
30	1045221.95
31	1041910.1
32	1038829.509
33	1036878.29
34	1034211.815
35	1031444.347
36	1028961.952
37	1026054.912
38	1024587.587
39	1022716.306
40	1020938.001
41	1019137.751
42	1017721.692
43	1016514.118
44	1015409.762
45	1013525.639
46	1011734.922
47	1009879.093
48	1009831.208
49	1008596.785
50	1007582.433
51	1007417.243
52	1006751.721
53	1006227.164
54	1005338.52
55	1004302.043
56	1003607.123
57	1002450.712
58	1000792.436
59	1000210.467
60	999426.0942
61	999027.7747
62	998743.7456
63	998233.268
64	996062.0716
65	995804.8279
66	994020.865
67	993295.4053
68	992898.3995
69	992748.2687
70	991822.1647
71	990967.4045
72	990947.9406
73	990792.9344
74	990056.4467
75	988996.483
76	988338.2479
77	987608.3358
78	987195.5324
79	986757.4733
80	986617.5293
81	986148.018
82	984893.5639
83	983861.1213
84	981597.5163
85	980225.1243
86	979731.4357
87	979325.3487
88	978342.4753
89	977539.8148
90	976632.643
91	975253.9063
92	974331.2094
93	973766.7636
94	973345.8074
95	972864.7566
96	972439.7861
97	972102.9715
98	971673.536
99	971443.5902
100	970476.4071
101	969873.7688
102	968750.0708
103	968146.4902
104	967689.8274
105	966885.2174
106	965950.6096
107	965189.422
108	964804.1242
109	962966.0064
110	962451.6224
111	962060.6225
112	961184.9646
113	960663.8115
114	958701.1116
115	957325.0288
116	956610.9231
117	953539.0119
118	952892.2378
119	952291.6093
120	951492.5727
121	950952.9008
122	950436.5025
123	948176.2377
124	947638.5558
125	946658.1839
126	946164.8971
127	945420.1822
128	944987.9199
129	944352.876
130	943639.2418
131	943135.4369
132	942822.4617
133	941446.5648
134	940915.4656
135	940751.4521
136	940461.8686
137	940175.1797
138	940010.0454
139	937556.135
140	937229.4497
141	936578.996
142	934796.9463
143	934612.8489
144	934200.5009
145	933608.6977
146	933345.7464
147	926047.414
148	924599.6698
149	924428.216
150	923747.5134
151	923150.4422
152	922517.0654
153	922151.718
154	921761.5125
155	921490.1774
156	921188.6921
157	920585.1302
158	920280.347
159	920032.0149
160	919713.1139
161	919546.426
162	919295.015
163	918711.8266
164	918411.1836
165	918012.2894
166	915213.396
167	914964.6654
168	914170.0669
169	913708.9788
170	912876.4055
171	912515.227
172	912376.4406
173	911223.4983
174	910395.5794
175	910134.6608
176	909815.2758
177	909686.7855
178	909345.4129
179	909181.2357
180	908910.8
181	908597.7625
182	908434.217
183	907918.9472
184	907271.5681
185	907075.7671
186	906644.5719
187	906375.9883
188	906058.9329
189	905786.7945
190	905261.8829
191	905055.8347
192	903985.074
193	903818.0535
194	903597.8681
195	901004.1076
196	900608.0504
197	900120.6317
198	899619.8347
199	899520.2533
200	899216.8158
201	898673.1822
202	898194.3055
203	897942.7257
204	897649.3503
205	897267.6007
206	897017.5722
207	895898.2566
208	895499.1625
209	895174.6745
210	894919.4481
211	888626.2066
212	888406.0877
213	887483.1564
214	885239.878
215	884478.3998
216	884406.726
217	883834.9905
218	882927.0459
219	882537.719
220	882233.0043
221	882047.4348
222	881759.3627
223	881638.9806
224	881255.6723
225	880315.4507
226	880127.2377
227	879775.4584
228	879507.8021
229	879310.0626
230	879246.1138
231	879117.9062
232	878627.5735
233	878437.6253
234	877989.0133
235	877672.8849
236	877331.8139
237	877003.015
238	872275.2048
239	871698.3789
240	871249.2059
241	869856.9309
242	869473.9502
243	869179.9868
244	869036.5685
245	869009.2443
246	868997.1597
247	868804.779
248	868748.7982
249	868692.7886
250	868296.8048
251	868160.9248
252	867843.2968
253	867694.5758
254	867576.4108
255	867281.8281
256	866775.1877
257	866318.6995
258	866123.3679
259	866111.1733
260	865847.3088
261	865621.1505
262	865573.2691
263	865528.9875
264	865140.8303
265	864871.0551
266	864738.9128
267	864516.1932
268	864385.9166
269	864355.6593
270	864227.7536
271	863729.5349
272	863618.0276
273	863046.5593
274	862755.2168
275	862223.7685
276	861848.4742
277	861598.5101
278	861384.6302
279	859609.5022
280	859507.366
281	858870.3487
282	858725.6795
283	858403.2711
284	858331.9035
285	858240.825
286	858056.1081
287	857927.223
288	857492.5884
289	857291.7576
290	857027.0261
291	856759.2339
292	854826.9316
293	850942.2586
294	850725.3987
295	850285.0671
296	848299.7374
297	848079.2751
298	847862.5546
299	847460.4701
300	847318.6367
301	846880.5865
302	846813.0833
303	845375.5887
304	843718.8989
305	841014.1951
306	840881.9798
307	839350.7515
308	837875.0854
309	837813.8412
310	837649.6102
311	837505.5347
312	837108.3236
313	836762.4446
314	835376.5492
315	835318.4282
316	835117.6774
317	834819.6241
318	834670.8842
319	834313.9021
320	834196.143
321	833677.9232
322	833470.4995
323	833093.9832
324	832914.8964
325	832832.0321
326	832601.4183
327	832462.5974
328	831344.9835
329	831075.7872
330	830844.2712
331	830767.95
332	830552.5581
333	830310.5668
334	830161.8016
335	829936.3995
336	829835.9689
337	829710.5423
338	828000.0758
339	827766.3995
340	826164.2095
341	826016.1212
342	825248.9111
343	824976.6957
344	824863.6138
345	824351.207
346	823534.9333
347	823313.1147
348	823264.5704
349	823064.9658
350	822667.0768
351	822206.866
352	822172.3043
353	820853.5451
354	820803.8571
355	820675.4399
356	820466.0207
357	820244.7435
358	820073.7712
359	819781.5141
360	819566.5867
361	819372.8995
362	818957.1256
363	818847.5853
364	818552.6607
365	818368.584
366	818244.9564
367	818159.0798
368	818113.6594
369	817897.0495
370	817716.9133
371	817483.7652
372	817383.4125
373	817333.1093
374	817266.5867
375	817104.8862
376	817007.9993
377	816860.7556
378	816667.0468
379	815452.2708
380	814578.6244
381	814332.2258
382	814240.1371
383	814113.3761
384	813947.573
385	813918.5107
386	813809.259
387	813600.8458
388	813501.9226
389	813419.6841
390	811919.8424
391	811612.3458
392	811536.0037
393	811352.1876
394	810835.213
395	809487.733
396	809454.8111
397	809051.6321
398	808934.7879
399	808806.176
400	808648.1037
401	808502.7155
402	808305.9126
403	808265.7884
404	808048.8645
405	807814.8884
406	807081.361
407	806971.4268
408	806791.5231
409	806467.082
410	806402.1553
411	806314.7487
412	805821.7677
413	805568.6616
414	805155.0338
415	804929.7284
416	804822.4754
417	804685.3394
418	804242.6597
419	803830.6034
420	803589.2433
421	803396.1637
422	803358.5115
423	803196.4358
424	802913.5301
425	802181.2568
426	801818.5636
427	801793.4641
428	801423.294
429	801265.1129
430	800998.7249
431	800992.2235
432	800986.0613
433	800856.7513
434	800850.9014
435	800691.4594
436	800615.6769
437	800504.9627
438	800362.2592
439	800146.9272
440	800141.4075
441	799703.0949
442	799602.1914
443	799596.9629
444	799501.7552
445	799496.7955
446	799380.1422
447	799174.7067
448	798571.5331
449	798423.3602
450	797956.433
451	797935.2614
452	797541.3519
453	797438.5411
454	796292.0898
455	795603.6374
456	795300.2737
457	795246.0458
458	795221.009
459	795084.8774
460	794725.8471
461	793665.0838
462	792657.8842
463	792627.492
464	792413.3468
465	792294.873
466	792182.589
467	791993.2346
468	791738.2312
469	790705.305
470	790636.1775
471	790427.9298
472	790383.9082
473	789416.1261
474	788709.311
475	788635.0869
476	788539.6727
477	788494.9859
478	788429.7432
