iter	Passed	Remaining
0	649	648848
1	823	411028
2	895	297466
3	951	236921
4	1002	199561
5	1051	174209
6	1105	156875
7	1159	143825
8	1215	133785
9	1272	125997
10	1338	120344
11	1395	114935
12	1453	110374
13	1506	106087
14	1565	102806
15	1624	99916
16	1687	97568
17	1782	97269
18	1843	95161
19	1889	92594
20	1935	90217
21	1991	88534
22	2039	86653
23	2097	85292
24	2161	84316
25	2228	83475
26	2283	82304
27	2335	81081
28	2396	80251
29	2459	79538
30	2513	78575
31	2566	77643
32	2617	76714
33	2674	75997
34	2739	75539
35	2800	74979
36	2870	74721
37	2933	74261
38	2993	73774
39	3061	73476
40	3125	73103
41	3192	72810
42	3258	72522
43	3321	72172
44	3391	71980
45	3447	71492
46	3504	71059
47	3564	70704
48	3607	70005
49	3668	69692
50	3726	69342
51	3790	69111
52	3856	68911
53	3916	68617
54	3969	68211
55	4037	68063
56	4098	67803
57	4172	67772
58	4231	67486
59	4289	67202
60	4349	66957
61	4407	66679
62	4467	66444
63	4521	66120
64	4578	65865
65	4633	65569
66	4685	65243
67	4744	65033
68	4832	65204
69	4899	65088
70	4964	64956
71	5022	64736
72	5077	64474
73	5133	64236
74	5183	63933
75	5269	64068
76	5341	64030
77	5401	63847
78	5456	63612
79	5508	63349
80	5568	63175
81	5688	63681
82	5817	64272
83	5953	64923
84	6064	65279
85	6133	65182
86	6189	64957
87	6249	64768
88	6324	64741
89	6384	64552
90	6430	64237
91	6481	63964
92	6530	63691
93	6579	63416
94	6624	63109
95	6668	62791
96	6714	62511
97	6762	62242
98	6822	62092
99	6876	61886
100	6927	61665
101	6975	61415
102	7029	61218
103	7076	60962
104	7132	60800
105	7177	60530
106	7223	60285
107	7267	60023
108	7313	59783
109	7371	59639
110	7419	59422
111	7467	59206
112	7511	58963
113	7556	58731
114	7604	58520
115	7653	58326
116	7699	58107
117	7743	57881
118	7790	57675
119	7843	57518
120	7895	57354
121	7960	57290
122	8044	57354
123	8105	57259
124	8154	57081
125	8222	57034
126	8277	56896
127	8338	56803
128	8394	56677
129	8456	56592
130	8519	56516
131	8583	56443
132	8642	56336
133	8705	56260
134	8760	56132
135	8821	56042
136	8871	55885
137	8922	55730
138	8964	55525
139	9008	55338
140	9056	55176
141	9136	55205
142	9429	56509
143	9529	56649
144	9637	56827
145	9776	57188
146	9875	57304
147	9961	57344
148	10152	57985
149	10251	58091
150	10510	59098
151	10603	59155
152	10668	59059
153	10727	58931
154	10790	58825
155	10844	58673
156	10901	58535
157	10972	58473
158	11028	58333
159	11094	58245
160	11205	58391
161	11325	58585
162	11453	58814
163	11633	59302
164	11831	59876
165	12451	62555
166	12594	62820
167	12678	62789
168	12763	62758
169	12858	62780
170	13012	63085
171	13172	63411
172	13309	63622
173	13391	63569
174	13539	63829
175	13622	63778
176	13739	63885
177	13805	63755
178	13865	63595
179	13945	63529
180	14013	63409
181	14093	63345
182	14188	63344
183	14283	63344
184	14381	63357
185	14452	63251
186	14514	63102
187	14576	62956
188	14637	62809
189	14699	62664
190	14761	62524
191	14817	62355
192	14867	62167
193	14926	62013
194	14984	61858
195	15051	61741
196	15119	61628
197	15188	61521
198	15293	61557
199	15379	61519
200	15483	61549
201	15605	61651
202	15712	61690
203	15779	61571
204	15837	61419
205	15900	61288
206	15963	61154
207	16021	61006
208	16078	60851
209	16147	60746
210	16242	60737
211	16327	60689
212	16379	60518
213	16457	60446
214	16556	60451
215	16659	60469
216	16736	60391
217	16842	60416
218	17143	61136
219	17350	61514
220	17476	61603
221	17594	61658
222	17707	61699
223	17888	61970
224	18069	62240
225	18333	62788
226	18536	63121
227	18872	63902
228	19130	64407
229	19344	64760
230	19534	65031
231	19733	65324
